@Name,@Description,@Group,@HasPair,@Display,@IsOld,@Extra
base,"базовый url-адрес, относительно которого вычисляются относительные адреса",01. Метаданные документа,0,none,,
head,контейнер для метаданных html-документа,01. Метаданные документа,1,none,,
html,корневой элемент html-документа,01. Метаданные документа,1,block,,
link,подключает внешние таблицы стилей,01. Метаданные документа,0,none,,
meta,мета-данные веб-страницы,01. Метаданные документа,0,none,,
title,заголовок / имя html-документа,01. Метаданные документа,1,none,,
style,подключает таблицы стилей,01. Метаданные документа,1,,,
article,"раздел контента, образующий независимую часть документа или сайта",02. Секционные элементы,1,block,,
aside,"контент страницы, имеющий косвенное отношение к основному контенту",02. Секционные элементы,1,block,,
body,тело html-документа,02. Секционные элементы,1,block,,
footer,секция для нижнего колонтитула документа или раздела,02. Секционные элементы,1,block,,
h*,заголовки шести уровней,02. Секционные элементы,1,block,,
header,секция для вводной информации сайта или группы навигационных ссылок,02. Секционные элементы,1,block,,
nav,"раздел документа, содержащий навигационные ссылки по сайту",02. Секционные элементы,1,block,,
section,"логическая область (раздел) страницы, обычно с заголовком",02. Секционные элементы,1,block,,
address,контактные данные автора документа или статьи,03. Группировка содержимого,1,block,,
blockquote,большая цитата,03. Группировка содержимого,1,block,,
dd,расшифровывает термин,03. Группировка содержимого,1,block,,
div,"контейнер для разделов html-документа, группирует блочные элементы",03. Группировка содержимого,1,block,,
dl,контейнер для термина и его описания,03. Группировка содержимого,1,block,,
dt,задаёт термин,03. Группировка содержимого,1,block,,
figcaption,заголовок для элемента <`figure>,03. Группировка содержимого,1,block,,
figure,"независимый контейнер для такого контента как изображения, диаграммы и т.п.",03. Группировка содержимого,1,block,,
hr,горизонтальная линия,03. Группировка содержимого,0,block,,
li,элемент списка,03. Группировка содержимого,1,list-item,,
main,контейнер для уникального основного содержимого в пределах одной страницы сайта,03. Группировка содержимого,,block,,
ol,упорядоченный нумерованный список,03. Группировка содержимого,1,block,,
p,параграфы в тексте,03. Группировка содержимого,1,block,,
pre,выводит текст с пробелами и переносами,03. Группировка содержимого,1,block,,
ul,маркированный список,03. Группировка содержимого,1,block,,
caption,подпись к таблице,04. Табличные данные,1,table-caption,,
col,выбирает для форматирования столбцы,04. Табличные данные,0,table-column,,
colgroup,контейнер для одного или нескольких <`col>,04. Табличные данные,1,table-column-group,,
table,html-таблица,04. Табличные данные,1,table,,
tbody,тело таблицы,04. Табличные данные,1,table-row-group,,
td,ячейка таблицы,04. Табличные данные,1,table-cell,,
tfoot,нижний колонтитул таблицы,04. Табличные данные,1,table-footer-group,,
th,заголовок столбца таблицы,04. Табличные данные,1,table-cell,,
thead,блок заголовков таблицы,04. Табличные данные,1,table-header-group,,
tr,строка таблицы,04. Табличные данные,1,table-row,,
details,"контейнер с дополнительными сведениями, который можно открыть или закрыть",05. Интерактивные элементы,1,block,,
dialog,"диалоговое окно, инспектор или окно",05. Интерактивные элементы,1,block,,
summary,видимый заголовок для элемента <`details>,05. Интерактивные элементы,1,block,,
canvas,холст-контейнер для динамического отображения изображений,06. Скрипты,1,inline-block,,
noscript,"секция, не поддерживающая скрипт",06. Скрипты,1,block,,
script,подключает сценарии к странице,06. Скрипты,1,none,,
template,"фрагменты HTML-кода, которые могут быть клонированы и вставлены в документ скриптом",06. Скрипты,1,none,,
area,гиперссылка с текстом или активная область внутри карты-изображения,07. Встроенное содержимое,0,inline,,
audio,добавляет аудио-файлы,07. Встроенное содержимое,1,inline-block,,
embed,встраивает внешний интерактивный контент или плагин,07. Встроенное содержимое,0,inline-block,,
iframe,создаёт встроенный фрейм,07. Встроенное содержимое,1,block,,
img,html-изображения,07. Встроенное содержимое,0,inline,,
map,активные области на карте-изображении,07. Встроенное содержимое,1,inline,,
object,контейнер для встраивания мультимедиа,07. Встроенное содержимое,1,inline-block,1,
param,"задаёт параметры для плагинов, встраиваемых с помощью элемента <`object>",07. Встроенное содержимое,0,none,,
picture,контейнер для одного <`img> и ноль или больше <`source>,07. Встроенное содержимое,1,inline,,
source,"местоположение и тип альтернативных медиаресурсов для элементов <`picture>, <`video>, <`audio>",07. Встроенное содержимое,0,none,,
track,субтитры для элементов <`audio> и <`video>,07. Встроенное содержимое,0,none,,
video,добавляет видео-файлы,07. Встроенное содержимое,1,inline-block,,
a,гиперссылка,08. Семантика текста,1,inline,,
abbr,аббревиатура или акроним,08. Семантика текста,1,none,,
b,"задает полужирное начертание отрывка текста, без дополнительного акцента",08. Семантика текста,1,inline,,
